,bikenum,sum,week,count
0,W00563,9682,2015-12-28 00:00:00-05:00,3
1,W00563,18392,2016-01-04 00:00:00-05:00,7
2,W00563,24023,2016-01-11 00:00:00-05:00,6
3,W00563,4796,2016-01-25 00:00:00-05:00,2
4,W00563,15242,2016-02-01 00:00:00-05:00,5
5,W00563,6769,2016-02-15 00:00:00-05:00,3
6,W00563,7253,2016-02-22 00:00:00-05:00,4
7,W00563,9475,2016-02-29 00:00:00-05:00,5
8,W00563,38901,2016-03-07 00:00:00-05:00,7
9,W00563,27414,2016-03-14 00:00:00-04:00,5
10,W00563,35613,2016-03-21 00:00:00-04:00,4
11,W00563,21294,2016-03-28 00:00:00-04:00,7
12,W00563,27501,2016-04-04 00:00:00-04:00,5
13,W00563,29444,2016-04-11 00:00:00-04:00,7
14,W00563,23874,2016-04-18 00:00:00-04:00,7
15,W00563,20763,2016-04-25 00:00:00-04:00,3
16,W00563,9620,2016-05-02 00:00:00-04:00,5
17,W00563,7377,2016-05-09 00:00:00-04:00,2
18,W00563,18470,2016-05-16 00:00:00-04:00,4
19,W00563,23126,2016-05-23 00:00:00-04:00,6
20,W00563,10755,2016-05-30 00:00:00-04:00,4
21,W00563,23898,2016-06-06 00:00:00-04:00,4
22,W00563,34323,2016-06-13 00:00:00-04:00,7
23,W00563,60043,2016-06-20 00:00:00-04:00,6
24,W00563,52703,2016-06-27 00:00:00-04:00,7
25,W00563,40011,2016-07-04 00:00:00-04:00,5
26,W00563,58049,2016-07-11 00:00:00-04:00,7
27,W00563,26017,2016-07-18 00:00:00-04:00,7
28,W00563,45720,2016-07-25 00:00:00-04:00,7
29,W00563,25846,2016-08-01 00:00:00-04:00,6
30,W00563,15050,2016-08-08 00:00:00-04:00,6
31,W00563,38028,2016-08-15 00:00:00-04:00,5
32,W00563,1856,2016-08-22 00:00:00-04:00,1
33,W00563,4677,2016-08-29 00:00:00-04:00,1
34,W00563,24612,2016-09-05 00:00:00-04:00,6
35,W00563,62004,2016-09-12 00:00:00-04:00,7
36,W00563,79644,2016-09-19 00:00:00-04:00,7
37,W00563,51460,2016-09-26 00:00:00-04:00,7
38,W00563,27127,2016-10-03 00:00:00-04:00,5
39,W00563,2547,2016-10-10 00:00:00-04:00,3
40,W00563,25814,2016-10-17 00:00:00-04:00,6
41,W00563,39506,2016-10-24 00:00:00-04:00,7
42,W00563,21740,2016-10-31 00:00:00-04:00,6
43,W00563,12969,2016-11-07 00:00:00-05:00,5
44,W00563,1181,2016-11-14 00:00:00-05:00,2
45,W00563,13268,2016-11-21 00:00:00-05:00,2
46,W00563,12156,2016-11-28 00:00:00-05:00,5
47,W00563,8849,2016-12-05 00:00:00-05:00,5
48,W00563,304,2016-12-19 00:00:00-05:00,1
49,W00563,7332,2016-12-26 00:00:00-05:00,4
50,W00563,6344,2017-01-02 00:00:00-05:00,5
51,W00563,22575,2017-01-09 00:00:00-05:00,4
