"","Psychiatrists working in mental health sector (per 100,000)","Psychiatrists working in mental health sector (per 100,000)","Nurses working in mental health sector (per 100,000)","Nurses working in mental health sector (per 100,000)","Social workers working in mental health sector (per 100,000)","Social workers working in mental health sector (per 100,000)","Psychologists working in mental health sector (per 100,000)","Psychologists working in mental health sector (per 100,000)"
"Country"," 2014"," 2011"," 2014"," 2011"," 2014"," 2011"," 2014"," 2011"
"Afghanistan","0.01","0.16","0.11","0.15","0.01","0.01","0.04","0.08"
"Albania","1.32","1.83","6.66","6.18","0.79","1.1","1.01","1.29"
"Algeria","2.29","1.55","","6.01","0.08","","3.43","4.26"
"Andorra","6.00","6.92","","10.38","","2.31","","28.84"
"Angola","","0.02","","0.61","","0.01","","0.03"
"Antigua and Barbuda","","1.13","","13.55","","1.13","","1.13"
"Armenia","5.90","4.04","","10.42","","0.13","","0.39"
"Australia","9.16","12.76","70.91","69.54","8.56","","16.68","62.48"
"Austria","","19.71","","","","","","79.88"
"Azerbaijan","3.72","5.08","6.40","8.84","0.07","","0.38",""
"Bahrain","4.84","8.18","22.69","29.12","0.74","0.87","0.74","0.5"
"Bangladesh","0.13","0.07","0.27","0.2","0.00","0","0.03","0.01"
"Barbados","","4.29","","41.71","","1.95","","9.35"
"Belarus","7.66","8.77","24.13","22.4","0.65","0.22","3.30","3.42"
"Belgium","20.32","","","0.04","","0.89","","1.34"
"Belize","0.59","0.96","5.30","7.67","0.59","0","0.29","0"
"Benin","0.11","0.14","0.29","0.22","0.03","0.01","0.04","0.02"
"Bhutan","","0.28","","78.48","","0","","0"
"Bolivia (Plurinational State of)","","1.06","","0.34","","0.25","","0.46"
"Bosnia and Herzegovina","4.00","4.95","12.94","18.49","1.39","0.24","3.16","1.36"
"Botswana","0.29","0.25","12.17","4.05","0.39","0.35","0.39","1.52"
"Brazil","3.49","3.07","3.05","1.6","1.72","1.02","3.22","9.6"
"Brunei Darussalam","3.31","0.98","14.89","13.27","0.24","0","0.95","0"
"Bulgaria","","6.75","","431.01","","0.36","","0.91"
"Burkina Faso","0.05","0.04","0.56","","0.01","0.01","0.03","0.02"
"Burundi","0.01","0.01","0.29","0.02","0.10","","0.08","0.01"
"Cabo Verde","","1.37","","2.93","","0.2","","3.51"
"Cambodia","","0.23","","0.8","","","",""
"Cameroon","","0.03","","0.15","","","",""
"Canada","13.42","12.61","53.31","65","117.79","","47.42","46.56"
"Central African Republic","","0.02","","0.07","","0.04","","0.04"
"Chad","","0.01","","0.03","","0.01","","0.01"
"Chile","4.66","0.99","1.59","","2.18","","5.19",""
"China","","1.53","","2.65","","","","0.18"
"Colombia","2.53","","","","","","10.74",""
"Comoros","","0.14","","0.43","","0","","0"
"Congo","","0.03","","0.45","","0.03","","0.11"
"Cook Islands","","5.02","","10.03","","0","","0"
"Costa Rica","","2.33","","3.92","","1.64","","1.79"
"Côte d'Ivoire","0.10","0.16","0.02","","0.05","0.05","","0.02"
"Croatia","","10.25","","35.56","","1.02","","2.9"
"Cuba","10.26","10.85","29.45","29.6","8.63","3.05","","1.98"
"Cyprus","2.69","6.82","20.55","42.17","0.17","","2.69","28.99"
"Czechia","","11.85","","28.24","","0.9","","2.03"
"Democratic Republic of the Congo","0.10","0.07","0.25","0.24","0.03","0.02","0.02","0.01"
"Denmark","9.57","14.12","60.02","","5.66","","12.78",""
"Dominica","2.77","3.01","11.06","12.03","1.38","1.5","1.38","0"
"Dominican Republic","1.08","1.33","1.29","","0.05","","3.99","3.27"
"Ecuador","1.09","1","0.96","0.91","0.54","0.38","2.53","1.29"
"Egypt","0.69","0.54","3.10","2.08","0.29","0.23","0.12","0.13"
"El Salvador","","0.16","","0.48","","0.05","","0.08"
"Eritrea","0.00","0","0.99","1.07","0.02","0.02","0.05","0.04"
"Estonia","13.87","13.5","21.42","","1.71","","7.79",""
"Eswatini","","0.17","","4.66","","0.17","","0.25"
"Ethiopia","","0.04","","0.59","","0","","0.02"
"Fiji","","0.23","","4.1","","0","","0"
"Finland","18.37","28.06","","","","","56.95",""
"France","14.12","22.35","90.86","86.21","0.00","3.83","10.77","47.9"
"Gabon","","0.27","","1","","0.07","","0.13"
"Gambia","0.11","0.17","0.58","0.57","0.00","0","0.05","0"
"Georgia","5.85","6.87","5.60","7.68","0.30","","0.65",""
"Germany","","15.23","","56.06","","","",""
"Ghana","0.06","0.07","7.34","2.47","0.05","0.02","0.03","0.04"
"Greece","14.09","12.88","50.57","","6.92","","12.13","26.83"
"Grenada","1.88","1.92","63.97","15.33","2.82","2.88","0.00","0"
"Guatemala","0.29","0.59","1.31","1.39","0.07","0.14","0.53","6.89"
"Guinea","","0.03","","0.07","","0","","0"
"Guinea-Bissau","","0","","0.61","","0","","0.06"
"Guyana","0.50","0.53","","0.39","0.37","0.39","0.00","0"
"Haiti","0.07","0.2","0.29","0.26","0.06","0","0.07","0.04"
"Honduras","0.38","0.77","2.14","2.44","1.17","0.28","0.69","0.74"
"Hungary","","6.52","","21.93","","2.98","2.59","2.47"
"Iceland","","19.74","","37.96","","10.63","","31.89"
"India","0.30","0.3","0.12","0.17","0.07","0.03","0.07","0.05"
"Indonesia","0.29","0.01","2.57","","0.05","","0.18",""
"Iran (Islamic Republic of)","1.76","1.49","8.84","7.46","0.72","0.67","5.07","2.19"
"Iraq","0.37","0.27","1.46","0.89","0.22","0.1","0.09","0.15"
"Ireland","","6.06","","112.83","","3.84","","3.53"
"Israel","11.57","8.24","11.63","","","","",""
"Italy","10.85","7.81","27.57","19.28","2.43","1.93","3.52","2.58"
"Jamaica","1.11","1.1","8.90","5.71","0.57","0.59","0.43","0.33"
"Japan","","10.1","","102.55","","6.06","","3.99"
"Jordan","0.51","1.08","4.72","4.03","0.16","0.25","0.27","0.17"
"Kazakhstan","","6.26","","","","","","0.29"
"Kenya","","0.19","","","","0.01","",""
